hand_id,hand_number,actor,actor_seat,hole_card_1,hole_card_2,action_bucket,raw_action,raw_amount,hole_card_class,hole_high_rank,hole_low_rank,hole_rank_gap,hole_pair,hole_suited,hole_broadway_fraction,street,players_left_fraction,players_in_hand_fraction,position_bucket,position_fraction,stack_rank_fraction,stack_bb,effective_stack_bb,pot_bb,facing_amount_bb,amount_put_in_pot_bb,call_to_pot_ratio,stack_to_pot_ratio,previous_raises_by_self_in_hand,previous_raises_in_hand,street_action_number,last_aggressor_is_self,is_facing_bet,is_facing_all_in,can_check,can_raise,keras_equity,board_card_count,board_paired,board_two_pair_or_better,board_trips_or_better,board_max_suit_fraction,board_three_flush,board_four_flush,board_made_flush,board_straight_run_fraction,board_high_rank,board_ace_high
k6xud1gf1grl,4,Tezz_Ken,2,9s,Ks,call,call,2.0,K9s,0.9285714285714286,0.6428571428571429,0.3333333333333333,0.0,1.0,0.5,preflop,0.3,1.0,small_blind,0.5,0.0,11.0,11.0,2.5,0.5,0.5,0.2,4.4,0,0,1,0.0,1.0,0.0,0.0,1.0,0.4134490489959717,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k6xud1gf1grl,4,enoch_zak,10,Jh,8s,fold,fold,0.0,J8o,0.7857142857142857,0.5714285714285714,0.25,0.0,0.0,0.5,preflop,0.3,1.0,big_blind,1.0,1.0,140.0,97.0,3.0,0.0,1.0,0.0,46.666666666666664,0,0,2,0.0,0.0,0.0,1.0,1.0,0.35522961616516113,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k6xud1gf1grl,4,Tezz_Ken,2,9s,Ks,fold,fold,0.0,K9s,0.9285714285714286,0.6428571428571429,0.3333333333333333,0.0,1.0,0.5,flop,0.3,0.6666666666666666,heads_up_big_blind,1.0,0.0,10.5,10.5,3.0,0.0,1.0,0.0,3.5,0,0,0,0.0,0.0,0.0,1.0,1.0,0.8413252830505371,3,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4,0.9285714285714286,0.0
k6xud1gf1grl,4,enoch_zak,10,Jh,8s,call,call,2.0,J8o,0.7857142857142857,0.5714285714285714,0.25,0.0,0.0,0.5,flop,0.3,0.3333333333333333,heads_up_big_blind,0.0,1.0,140.0,97.0,3.0,0.0,1.0,0.0,46.666666666666664,0,0,1,0.0,0.0,0.0,1.0,1.0,0.4064304530620575,3,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4,0.9285714285714286,0.0
k6xud1gf1grl,4,Tezz_Ken,2,9s,Ks,three_quarter_pot_raise,raise,8.0,K9s,0.9285714285714286,0.6428571428571429,0.3333333333333333,0.0,1.0,0.5,flop,0.3,0.3333333333333333,heads_up_big_blind,0.0,0.0,10.5,10.5,5.0,1.0,1.0,0.2,2.1,0,0,3,0.0,1.0,0.0,0.0,1.0,0.8413252830505371,3,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4,0.9285714285714286,0.0
k6xud1gf1grl,4,enoch_zak,10,Jh,8s,call,call,8.0,J8o,0.7857142857142857,0.5714285714285714,0.25,0.0,0.0,0.5,flop,0.3,0.3333333333333333,heads_up_big_blind,0.0,1.0,139.0,96.0,9.0,3.0,2.0,0.3333333333333333,15.444444444444445,0,1,4,0.0,1.0,0.0,0.0,1.0,0.4064304530620575,3,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4,0.9285714285714286,0.0
k6xud1gf1grl,4,Tezz_Ken,2,9s,Ks,fold,fold,0.0,K9s,0.9285714285714286,0.6428571428571429,0.3333333333333333,0.0,1.0,0.5,turn,0.3,0.3333333333333333,heads_up_big_blind,0.0,0.0,6.5,6.5,15.0,0.0,5.0,0.0,0.43333333333333335,1,1,0,1.0,0.0,0.0,1.0,1.0,0.8177695870399475,4,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4,0.9285714285714286,0.0
k6xud1gf1grl,4,enoch_zak,10,Jh,8s,min_raise,raise,14.0,J8o,0.7857142857142857,0.5714285714285714,0.25,0.0,0.0,0.5,turn,0.3,0.3333333333333333,heads_up_big_blind,0.0,1.0,136.0,93.0,15.0,0.0,5.0,0.0,9.066666666666666,0,1,1,0.0,0.0,0.0,1.0,1.0,0.30591827630996704,4,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4,0.9285714285714286,0.0
k6xud1gf1grl,4,Tezz_Ken,2,9s,Ks,call,call,13.0,K9s,0.9285714285714286,0.6428571428571429,0.3333333333333333,0.0,1.0,0.5,turn,0.3,0.3333333333333333,heads_up_big_blind,0.0,0.0,6.5,6.5,22.0,7.0,5.0,0.3181818181818182,0.29545454545454547,1,2,3,0.0,1.0,0.0,0.0,1.0,0.8177695870399475,4,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4,0.9285714285714286,0.0
oivxmsimqufx,5,Tezz_Ken,2,Qh,Kc,call,call,2.0,KQo,0.9285714285714286,0.8571428571428571,0.08333333333333333,0.0,0.0,1.0,preflop,0.3,1.0,button,0.0,0.0,28.0,28.0,1.5,1.0,0.0,0.6666666666666666,18.666666666666668,0,0,0,0.0,1.0,0.0,0.0,1.0,0.4280174970626831,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
